sa_clli,clli,site_name,address,phone_line,emergency_line,latitude,longitude,contact_and_site_access,other_site_information,type,sub_type,manager,plant
RSPNNYAE,RSPNNYAE,Rouses Point,66 Pratt St.,,,44.994771,-73.370972,"Gate Combo: 1997 Door Combo: 5,1,2, then 3&4 at the same time",,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,SFRNNYCB,Suffern,2 Pavilion Rd,,,41.119808,-74.149223,"BELL CA site - Access requires escort from BELL CA technician and must be requested through BELL NOC: 877.499.1871 or email NMCC@BELL.CA
Cage Lockbox: 0718",,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,SGRTNYBF,Saugerties,1185 Kings Hwy,,,42.07645,-73.9739,Gate Code: 1524     Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,SHBYMAPC,Shutesbury,491 Pratts Corner,,,42.42601403,-72.46605846,Crown Castle Badge for door. Cabinet Combo: 569,,Building,N/A,Fernand Rancourt,9536
HRFRCTBE,SPFDMAFE,Springfield,"1 Federal St, Springfield, MA",,,42.1092037,-72.57764037,,,Building,N/A,Fernand Rancourt,9536
SRSPNYEQ,SRSPNYEQ,Saratoga Springs,55 Glenham Rd,,,43.071838,-73.811112,"Gate Combo: 9271 Door Combo: 5,1,2, then 3&4 at the same time",,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,WHNRNYAC,West Henrietta,10 Erie Station Rd,,,43.037693,-77.718749,Gate Code: 2401 Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,WHPLNY05,White Plains,360 Hamilton Ave.,,,41.0348931,-73.76719373,Take the elevator to first floor suite 110. Requires Crown Castle badge. Cabinet C6.02. Combo: 569,,Building,N/A,Fernand Rancourt,9536
WHTHNYAK,WHTHNYAK,Whitehall,1 Riverside Dr,,,43.549158,-73.403093,"Gate Combo: 9271 Door Combo: 5,1,2, then 3&4 at the same time",,Building,N/A,Fernand Rancourt,9536
WTRLNYBK,WTRLNYBK,Waterloo,1299 Stone Church Rd,,,42.962396,-76.881282,Gate Code: 5150 Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
BACUPQ,BACUPQAA,POP Centre de service Hydro Quebec,"135 Boulevard Comeau, Baie-Comeau, QC G4Z 3A8, Canada",,,49.228442,-68.189718,,,Building,Customer premise,Hugues Mathieu,9533
BACUPQ,BACUPQQO,Hutte Mobilité Baie-Comeau,"100 avenue Mance, Baie-Comeau, QC G4Z, Canada",418-296-1080,,49.217757,-68.153459,418-296-2047 pour téléphone dans le batiment BUT,,Building,Remote,Hugues Mathieu,9533
BACUPQ,BACUPQU0000,ERA #1 Baie-Comeau,"avenue Babel, Baie-Comeau, QC G4Z 1Y8, Canada. (CIVIC : CORNER avenue Babel et Alfred Poulin, Baie-Comeau)",,,49.21276,-68.170149,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,BACUPQU0001,ERA #2 Baie-Comeau,"7 Avenue Narcisse Blais, Baie-Comeau, QC, G4Z 1T4, Canada",,,49.21511,-68.18281,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,BACUPQU0002,ERA #3 Baie-Comeau,"rue Pere Arnaud, Baie-Comean, QC, Canada. (CIVIC : CORNER rue Pere Arnaud et avenue Parc D'Iberville, Baie-Comeau)",,,49.215303,-68.163652,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,BACUPQU0003,ERA #4 Baie-Comeau,"29 avenue Mance, Baie-Comeau, QC G4Z 1N5, Canada",,,49.21731,-68.146107,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,BACUPQU0004,ERA #5 Baie-Comeau,"avenue Bernier, Baie-Comeau QC, Canada. (CIVIC : CORNER avenue Bernier et avenue Legardeur, Baie-Comeau)",,,49.235278,-68.149684,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,BACUPQU0005,ERA #6 Baie-Comeau,"7 avenue Donald Smith, Baie-Comeau, QC G4Z 2C8, Canada",,,49.210689,-68.178256,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,BACUPQXA,Central St-Georges secteur Marquette,"32 avenue le Gardeur, Baie-Comeau, QC G4Z 1A4, Canada",418-296-1105,,49.242639,-68.152806,,,Building,CO,Hugues Mathieu,9533
BACUPQ,BACUPQXD,Central Manic 2,"Barrage MANIC 2 route 389, Lot 1 Bloc 20 Canton St-Hugue, QC, Canada",418-294-2001,,49.32179107,-68.36543026,,,Building,CO,Hugues Mathieu,9533
BACUPQ,BACUPQXE,Central Crémazie,"14 avenue Chapleau, Baie-Comeau, QC G4Z 2M1, Canada",418-296-1116,,49.21075,-68.193056,Parc Cremazie,,Building,CO,Hugues Mathieu,9533
BACUPQ,BACUPQXF,Centre de Service Baie-Comeau,"7 Avenue Narcisse Blais,Baie-Comeau, QC G4Z 1T4, Canada",,,49.2151,-68.1828,,,Building,Compound,Hugues Mathieu,9533
BACUPQ,BACUPQXG,Central Schmon,"117 Avenue Donald Smith, Baie-Comeau, QC G4Z 2E2, Canada",418-296-1106,,49.202081,-68.176931,,,Building,CO,Hugues Mathieu,9533
BACUPQ,BACUPQXQ,Central Baie-Comeau,"78 Place la Salle, Baie-Comeau, QC G4Z 1J8, Canada",418-589-1005,,49.2205,-68.153722,,,Building,CO,Hugues Mathieu,9533
BATRPQ,BATRPQXQ,Central Baie-Trinité,"15 rue Labrie, Baie-Trinite, QC G0H 1A0, Canada",418-939-1005,,49.424,-67.303417,,,Building,CO,Hugues Mathieu,9533
CAOAPQ,BSMSPQXQ,Central Bersimis,"Reserve Indienne (route 138), Bersimis, QC, Canada",418-567-1106,,48.949333,-68.653472,Bersimis/Betsiamites,,Building,CO,Hugues Mathieu,9533
CAOAPQ,CAOAPQXQ,Central Chute-aux-Outardes,"147 rue Vallilee, Chute-aux-Outardes, QC G0H, Canada",418-567-1005,,49.126901,-68.393197,,,Building,CO,Hugues Mathieu,9533
COMBPQ,COMBPQXQ,Central Colombier,"74 rue Principale Ouest, Colombier, QC, G0H 1P0, Canada",418-565-1005,,48.863611,-68.854278,,,Building,CO,Hugues Mathieu,9533
BACUPQ,FRNQPQXA,Central Franquelin,"1 rue des Bouleaux, Franquelin, QC G0H, Canada",418-296-1115,,49.293194,-67.895528,,,Building,CO,Hugues Mathieu,9533
FSVLPQ,FSVLPQU7000,ERA #1 Forestville,"54 rue Luc, Forestville, QC, Canada.  (CIVIC : CORNER rue Luc et rue Foster, Forestville)",,,48.735856,-69.094691,,,Remote cabinet,RDAC,Hugues Mathieu,9533
FSVLPQ,FSVLPQU7001,ERA #2 Forestville,"180 route 138, Forestville, QC, Canada.",,,48.729331,-69.098167,,,Remote cabinet,RDAC,Hugues Mathieu,9533
FSVLPQ,FSVLPQXQ,Central Forestville,"43 2e Avenue, Forestville, QC G0T, Canada",418-587-1005,,48.738889,-69.082472,,,Building,CO,Hugues Mathieu,9533
GDBTPQ,GDBTPQXQ,Central Godbout,"129 rue Monseigneur Labrie, Godbout, QC G0H 1G0, Canada",418-568-1005,,49.323583,-67.605278,,,Building,CO,Hugues Mathieu,9533
BACUPQ,HTRVPQU0000,ERA #1 Hauterive,"2880 rue Napoleon, Baie-Comeau, QC G5C 1A6, Canada",,,49.193585,-68.302418,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0001,ERA #2 Hauterive,"boulevard Lafleche, Baie-Comeau, QC, Canada. (CIVIC : CORNER rue Dechamplain et boulevard Lafleche, Baie-Comeau)",,,49.192103,-68.302546,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0002,ERA #3 Hauterive,"P208 boulevard Lafleche, Baie-Comeau, QC, Canada. (CIVIC : FRONT rue Industriel, Baie-Comeau)",,,49.19455,-68.282196,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0003,ERA #4 Hauterive,"P3 rue Alice, Baie-Comeau, QC, Canada. (CIVIC : FRONT rue Robin, Baie-Comeau)",,,49.19555,-68.289734,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0004,ERA #5 Hauterive,"rue Cote, Baie-Comeau, QC, Canada. (CIVIC : FRONT rue Brochard, Baie-Comeau)",,,49.194822,-68.276688,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0005,ERA #6 Hauterive,"P101 rue Anticosti, Baie-Comeau, QC, Canada. (CIVIC : CORNER rue Anticosti et rue Parfondeval, Baie-Comeau)",,,49.200071,-68.260219,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0006,ERA #7 Hauterive,"P1-1 rue Cote, Baie-Comeau, QC, Canada. (CIVIC : BETWEEN rue Marest et rue Morain, Baie-Comeau)",,,49.195241,-68.270784,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0007,ERA #8 Hauterive,"578 rue des Cedres, Baie-Comeau, QC G5C 1S9, Canada",,,49.188894,-68.250788,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0008,ERA #9 Hauterive,"19 rue Divest, Baie-Comeau, QC, Canada. (CIVIC : FRONT rue Marest, Baie-Comeau)",,,49.189274,-68.271419,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0009,ERA #10 Hauterive,"485 rue Benoit, Baie-Comeau, QC G5C 1Z4, Canada",,,49.194406,-68.250628,,,Remote cabinet,RDAC,Hugues Mathieu,9533
BACUPQ,HTRVPQU0010,ERA #11 Hauterive,"rue Pentecote, Baie-Comeau, QC, Canada. (CIVIC : CORNER rue Nouvel et rue Pentecote, Baie-Comeau)",,,49.200187,-68.264267,,,Remote cabinet,RDAC,Hugues Mathieu,9533
HTRVPQ,HTRVPQU7000,ERA #13 Hauterive,"P5(0) rue Pentecote, Baie-Comeau, QC, Canada. (CIVIC : CORNER rue Nouvel et rue Pentecote, Baie-Comeau)",,,49.2001871,-68.2642671,,,Remote cabinet,RDAC,Hugues Mathieu,9533
HTRVPQ,HTRVPQU7001,ERA #12 Hauterive,"rue Cote, Baie-Comeau, QC, Canada. (CIVIC : BETWEEN rue Marest et rue Morain, Baie-Comeau)",,,49.1952411,-68.2707841,,,Remote cabinet,RDAC,Hugues Mathieu,9533
HTRVPQ,HTRVPQU7002,ERA #14 Hauterive,"231 Rue des Campanules, Baie-Comeau",,,49.207735,-68.249129,,,Remote cabinet,RDAC,Hugues Mathieu,9533
HTRVPQ,HTRVPQXA,Central Parc Langlois,"5 rue Martin, Pointe-Lebel, QC G4Z 3C3, Canada",418-295-1105,,49.180774,-68.326501,,,Building,CO,Hugues Mathieu,9533
HTRVPQ,HTRVPQXB,Central Scierie des Outardes,"1 chemin de la Scierie, Haute-Rive, QC, Canada",418-589-1107,,49.17844044,-68.4006286,,,Building,CO,Hugues Mathieu,9533
HTRVPQ,HTRVPQXQ,Central Hauterive,"917 rue Bosse, Baie-Comeau, QC G5C 1M2, Canada",418-589-1005,,49.192556,-68.259611,,,Building,CO,Hugues Mathieu,9533
CAOAPQ,LBSNPQXC,Hutte Mobilité Les Buissons,"302 chemin Principal, Pointe-Aux-Outardes, Qc G0H 1M0, Canada",418-567-8570,,49.0986,-68.3772,,,Building,Remote,Hugues Mathieu,9533
CAOAPQ,LBSNPQXQ,Central les Buissons,"293 chemin Principale, Pointe-aux-Outardes, QC G0H 1M0, Canada",418-567-1116,,49.102472,-68.384639,Les Buissons,,Building,CO,Hugues Mathieu,9533
LESCPQ,LESCPQAL,Central Les Escoumins,"31 route Forestiere, Les Escoumins, QC G0T 1K0, Canada",418-233-4269,,48.349083,-69.412111,,,Building,CO,Hugues Mathieu,9533
MNCGPQ,MNCGPQXQ,POP Manic 5,"Local Hydro-Quebec 31B Barrage MANIC 5 route 389, QC, Canada",418-584-2245,,50.641083,-68.727556,,,Building,POP,Hugues Mathieu,9533
BACUPQ,PNLBPQXA,Central Pointe-Lebel,"748 rue Granier, Pointe-Lebel, QC, Canada",418-295-1106,,49.159611,-68.199833,RCU,,Building,CO,Hugues Mathieu,9533
BACUPQ,PNLBPQXB,POP Aérogare Pointe-Lebel,"route de l'Aeroport, Baie-Comeau, QC G4Z 3C3, Canada",418-295-1083,,49.13675,-68.200806,,,Building,POP,Hugues Mathieu,9533
BACUPQ,PNLBPQXC,Central Pointe-Lebel Village,"267 rue Granier,  Pointe-Lebel, QC, Canada",418-589-1116,,49.16725,-68.26475,,,Building,CO,Hugues Mathieu,9533
CAOAPQ,PNOTPQXQ,Central Pointe-aux-Outardes,"623 chemin Principal, Pointe-aux-Outardes, QC G0H 1M0, Canada",418-567-1115,,49.045167,-68.418194,,,Building,CO,Hugues Mathieu,9533
CAOAPQ,RGNUPQXA,Central Ragueneau,"522 route 138, Ragueneau, QC, Canada",418-567-1105,,49.074139,-68.46572,,,Building,CO,Hugues Mathieu,9533
SCSYPQ,SCSYPQAF,Central Sacré-Coeur,"62 chemin du Lac de l'Ecluse, Sacre-Coeur, QC G0T 1Y0, Canada",418-236-1575,,48.239611,-69.803028,,,Building,CO,Hugues Mathieu,9533
STRNPQ,STRNPQAB,Central St-Rose-du-Nord,"686 route de Tadoussac, Sainte-Rose-du-Nord, QC G0V 1T0, Canada",418-675-1348,,48.410083,-70.575944,,,Building,FOT,Hugues Mathieu,9533
BNVTPQ,BNVTPQXQ,Central Bonaventure,"105 rue Charpentier, Bonaventure, QC G0C 1E0, Canada",418-534-1005,,48.04821448,-65.48833999,,,Building,CO,Hugues Mathieu,9530
CATNPQ,CATNPQQO,Radio Carleton-sur-Mer,"841 rue de la Montagne, Carleton-sur-Mer, QC G0C 1J0, Canada",418-364-1080,,48.130838,-66.129241,Radio,,Building,MW Radio,Hugues Mathieu,9530
CATNPQ,CATNPQU7001,ERA Carleton,"711 boulevard Perron, Carleton-sur-Mer, QC G0C 1J0, Canada",,,48.10127832,-66.11350306,,,Remote cabinet,RDAC,Hugues Mathieu,9530
CATNPQ,CATNPQXA,Central Carleton-Est,"25 rue Barriault, Carleton-sur-Mer, QC G0C 1J0, Canada",418-364-1005,,48.099815,-66.083252,,,Building,CO,Hugues Mathieu,9530
CATNPQ,CATNPQXQ,Central Carleton-sur-Mer,"560 boulevard Perron, Carleton-sur-Mer, QC G0C 1J0, Canada",418-364-1005,,48.104927,-66.127138,,,Building,CO,Hugues Mathieu,9530
CPLNPQ,CPLNPQXQ,Central Caplan,"2 route des Erables, Caplan, QC G0C 1H0, Canada",418-388-1005,,48.10311124,-65.68331253,,,Building,CO,Hugues Mathieu,9530
PNCXPQ,ESCMPQXQ,Central Escuminac,"238 et 1/2 route 132, Escuminac, QC G0C 1N0, Canada",418-788-1115,,48.122717,-66.478132,,,Building,CO,Hugues Mathieu,9530
NWMDPQ,GDCAPQXA,Central Cascapédia,"299 route du Parc de la Gaspesie, Cascapedia-Saint-Jules, QC G0C 1T0, Canada",418-392-1116,,48.25562,-65.89237,,,Building,CO,Hugues Mathieu,9530
PTDLPQ,GSCNPQU7000,ERA #1 Gascons,"8 Route De La Passerelle, Gascon, QC",,,48.192311,-64.895987,,,Remote cabinet,RDAC,Hugues Mathieu,9530
PTDLPQ,GSCNPQXA,Central Gascons,"97 route 132 ouest, Gascons, QC GOC 1P0, Canada",418-396-1105,,48.19269155,-64.86776836,,,Building,CO,Hugues Mathieu,9530
PTDLPQ,GSCNPQXR,Radio Gascons,"route Chapados, Gascons, QC G0C 1P0, Canada",418-396-1080,,48.211504,-64.86921,,,Building,Remote,Hugues Mathieu,9530
SALMPQ,LAPAPQXQ,Central L'Ascension,"72 rue Principale, L'Ascension-de-Patapedia, QC G0J 1R0, Canada",418-299-1115,,47.93229699,-67.24964775,,,Building,CO,Hugues Mathieu,9530
MARIPQ,MARIPQXA,Central Droken,"31 route Droken, Maria, QC G0C 1Y0, Canada",418-759-1005,,48.20088843,-65.93821134,,,Building,CO,Hugues Mathieu,9530
MARIPQ,MARIPQXQ,Central Maria,"20 rue des Mesanges, Maria, QC G0C 1Y0, Canada",418-759-1005,,48.171588,-65.989675,,,Building,CO,Hugues Mathieu,9530
MTPDPQ,MTPDPQXA,FOT Matapedia,"196 Boul Perron O, Restigouche, QC, CANADA",418-865-1083,,48.03512988,-67.04468661,,,Building,FOT,Hugues Mathieu,9530
MTPDPQ,MTPDPQXQ,Central Matapédia,"6 rue MacDonell, Matapedia, QC G0J 1V0, Canada",418-865-1005,,47.9747868,-66.94097139,,,Building,CO,Hugues Mathieu,9530
NVLLPQ,NVLLPQXQ,Central Nouvelle,"50 route 132, Nouvelle, QC G0C 2E0, Canada",418-794-1005,,48.147928,-66.318369,,,Building,CO,Hugues Mathieu,9530
NWCRPQ,NWCRPQU7000,ERA #1 New Carlisle,"171 boulevard Gerard D. Levesque, New Carlisle, QC G0C 1Z0, Canada",,,48.00977964,-65.33634706,,,Remote cabinet,RDAC,Hugues Mathieu,9530
NWCRPQ,NWCRPQXA,Centre de Service New Carlisle,"122 Boulevard Gérard D. Levesque, New Carlisle, QC G0C 1Z0, Canada",,,48.009763,-65.325042,,,Building,Compound,Hugues Mathieu,9530
NWCRPQ,NWCRPQXC,Radio New Carlisle,"122 Rue Principale, New Carlisle, QC, Canada",418-752-1080,,48.00898,-65.32518,,,Building,Remote,Hugues Mathieu,9530
NWCRPQ,NWCRPQXQ,Central New Carlisle,"124 Boulevard Gerard D. Levesque, New Carlisle, QC G0C 1Z0, Canada",418-752-1005,,48.00958059,-65.32496915,,,Building,CO,Hugues Mathieu,9530
NWMDPQ,NWMDPQAI,Central Saint-Edgar,"117 route du Centre de Plein Air, New Richmond, QC G0C 2B0, Canada",418-392-1115,,48.23798936,-65.72776678,,,Building,CO,Hugues Mathieu,9530
NWMDPQ,NWMDPQU7000,ERA #1 New Richmond,"119 chemin Cyr, New Richmond, QC G0C 2B0, Canada",,,48.16653935,-65.85333326,,,Remote cabinet,RDAC,Hugues Mathieu,9530
NWMDPQ,NWMDPQU7001,ERA #2 New Richmond,"240 boulevard Perron Ouest, New Richmond, QC G0C 2B0, Canada",,,48.16957378,-65.87251604,,,Remote cabinet,RDAC,Hugues Mathieu,9530
NWMDPQ,NWMDPQXQ,Central New Richmond,"105 5ieme Rue, New Richmond, QC G0C 2B0, Canada",418-392-1005,,48.16404,-65.861814,,,Building,CO,Hugues Mathieu,9530
PNCXPQ,PNCXPQXQ,Central Pointe-à-la-Croix,"22 rue Chaleur, Pointe-A-La-Croix, QC G0C 1L0, Canada",418-788-1005,,48.01758706,-66.68482584,,,Building,CO,Hugues Mathieu,9530
PNCXPQ,PNGRPQXA,Central Pointe-à-la-Garde,"27 route 132, Pointe-A-La-Garde, QC G0C 2M0, Canada",418-788-1116,,48.075,-66.552215,,,Building,CO,Hugues Mathieu,9530
NWCRPQ,PSPBPQXQ,Central Paspébiac,"154 rue Saint Pie X, Paspebiac, QC G0C 2K0, Canada",418-752-1105,,48.031632,-65.24958,,,Building,CO,Hugues Mathieu,9530
PTDLPQ,PTDLPQXC,Radio Port Daniel,"286 Québec 132 Port-Daniel, QC G0C 2N0",418-396-2166,,48.13915,-64.985184,,,Building,Remote,Hugues Mathieu,9530
PTDLPQ,PTDLPQXQ,Central Port-Daniel,"498 route 132, Port Daniel, QC G0C 2N0, Canada",418-396-1005,,48.17983072,-64.96961315,,,Building,CO,Hugues Mathieu,9530
PNCXPQ,RTGHPQU0001,ERA #1 Saint-Alexis-de-Matapédia,"5 chemin Kempt, Saint-Alexis-de-Matapedia, QC G0J 1V0, Canada",,,48.00837916,-66.76350832,,,Remote cabinet,RDAC,Hugues Mathieu,9530
CPLNPQ,SALCPQXA,Central Saint-Alphonse-de-Caplan,"111 rue Principale Ouest, Saint-Alphonse-de-Caplan, QC G0C 2V0, Canada",418-388-1105,,48.18892233,-65.62780241,,,Building,CO,Hugues Mathieu,9530
SALMPQ,SALMPQXQ,Central Saint-Alexis-de-Matapédia,"122 rue Rustico Nord, Saint-Alexis-de-Matapedia, QC G0J 2E0, Canada",418-396-1005,,47.972233,-67.053423,,,Building,CO,Hugues Mathieu,9530
BNVTPQ,SELBPQXA,Central Saint-Elzéar,"167 route de l'Eglise, Saint-Elzear,Qc, G0C 2W0, Canada",418-534-1115,,48.15502603,-65.39620053,,,Building,CO,Hugues Mathieu,9530
SALMPQ,SFRAPQXA,Central Saint-François-d'Assise,"370 chemin Central, Saint-Francois-d'Assise, QC G0J 2N0, Canada",418-299-1105,,47.98008314,-67.15421517,,,Building,CO,Hugues Mathieu,9530
NWCRPQ,SGDFPQXQ,Central Saint-Godefroi,"86A route 132 Est, Saint-Godefroi, QC G0C 3C0, Canada",418-752-1106,,48.07788503,-65.10941441,,,Building,CO,Hugues Mathieu,9530
NWCRPQ,SJOGPQXA,Central Saint-Jogues,"122 rang XX, Saint-Jogues, QC, G0C 2Y0, Canada",418-752-1115,,48.173902,-65.248532,,,Building,CO,Hugues Mathieu,9530
CATNPQ,SOMBPQXA,Central Saint-Omer,"106 B route de l'Eglise, Carleton-sur-Mer, QC G0C 2Z0, Canada",418-364-1106,,48.111178,-66.220517,,,Building,CO,Hugues Mathieu,9530
BNVTPQ,SSBVPQU7001,ERA #1 Saint-Siméon-de-Bonaventure,"193 Boulevard Perron O,Saint-Siméon-de-Bonaventure, Québec",,,48.072317,-65.581124,,,Remote cabinet,RDAC,Hugues Mathieu,9530
BNVTPQ,SSBVPQXA,Central Saint-Siméon,"114A route Poirier, Saint-Simeon, QC G0C 3A0, Canada",418-534-1105,,48.07217138,-65.56775201,,,Building,CO,Hugues Mathieu,9530
HNHRPQ,AMSDPQXR,Central Aylmer Sound,,418-242-2140,,50.612296,-59.461473,,,Building,CO,Hugues Mathieu,9533
LRMNPQ,BDLPPQXR,Central Baie-des-Loups,"50.271418, -60.135459",418-962-4330,,50.271418,-60.135459,"Radio
 
P.S.
2 génératrices fixes, une qui tourne 24 sur 24 et une standby+ une prise ext. 240v + une génératrice mobile 10 kw.",,Building,CO,Hugues Mathieu,9533
CHVRPQ,CHVRPQXQ,Central Chevery,"Chevery, QC, G0G 1G0, Canada",418-538-1005,,50.463526,-59.626105,​P.S. Génératrice fixe (Mise en marche manuel),,Building,CO,Hugues Mathieu,9533
OT09PQ,DNLKPQAB,FOT IOC Dufresne Lake,N/A,,,51.72944,-65.68833,,,Building,FOT,Hugues Mathieu,9533
OT09PQ,DNLKPQAC,Poste Montagnais Hydro-Québec,N/A,,,51.894556,-65.726323,,,Building,FOT,Hugues Mathieu,9533
HNHRPQ,HNHRPQXQ,Central Harrington Harbour,"Harrington Harbour, Québec, G0G 1N0, Canada",418-795-1005,,50.500425,-59.488156,Radio,,Building,CO,Hugues Mathieu,9533
BLSBPQ,LDBSPQXQ,Central Blanc-Sablon,"1137 Boulevard Docteur Camille Marcoux, Blanc-Sablon, QC G0G 1W0, Canada",418-461-1005,,51.415706,-57.18983,,,Building,CO,Hugues Mathieu,9533
BLSBPQ,LDBSPQXR,Radio Blanc Sablon,N/A,418-461-1080,,51.4431,-57.215764,Radio,,Building,CO,Hugues Mathieu,9533
LRMNPQ,LRMNPQXQ,Central La Romaine,"La Romaine, QC,G0G 1M0, Canada",418-229-1005,,50.215501,-60.684298,Radio,,Building,CO,Hugues Mathieu,9533
MNBAPQ,LTBTPQXQ,Central La Tabatière,"rue Principale, La Tabatière, QC, G0G 1T0, Canada",418-773-1105,,50.821804,-58.969553,"Mutton Bay
 
P.S.  Génératrice fixe (Mise en marche manuel)          ",,Building,CO,Hugues Mathieu,9533
BNESPQ,MDBAPQXQ,Central Middle Bay,"114 chemin Jacques-Cartier,Middle-Bay, QC, G0G 1Z0, Canada",418-461-1082,,51.464636,-57.49756,​P.S. Génératrice fixe (Mise en marche manuel),,Building,CO,Hugues Mathieu,9533
MNBAPQ,MNBAPQXQ,Central Baie-des-Moutons,"50.785214, -59.009888",418-773-1005,,50.785214,-59.009888,Radio,,Building,CO,Hugues Mathieu,9533
BNESPQ,RVSPPQXQ,Central Rivière-Saint-Paul,"16 de la Fabrique , Riviere Saint-Paul, QC G0G 2P0, Canada",418-379-1005,,51.47984587,-57.71239356,Bonne Esperance,,Building,CO,Hugues Mathieu,9533
STAGPQ,STAGPQXA,Central Pakuashipi,"Pakuashipi, QC, GOG 2R0, Canada",418-947-1105,,51.223693,-58.669344,,,Building,CO,Hugues Mathieu,9533
STAGPQ,STAGPQXQ,Central Saint-Augustin (Duplessis),"Saint-Augustin-Duplessis,QC, G0G 2R0, Canada",418-847-1005,,51.238972,-58.642493,Radio,,Building,CO,Hugues Mathieu,9533
TALBPQ,TALBPQXQ,Central Tête-à-la-Baleine,"Tête-à-la-Baleine, Quebec, G0G 2W0",418-242-1005,,50.705047,-59.310036,​P.S. Génératrice fixe (Mise en marche manuel),,Building,CO,Hugues Mathieu,9533
OT09PQ,TIKAPQAA,FOT IOC Tika,N/A,,,50.88106549,-65.95105324,,,Building,FOT,Hugues Mathieu,9533
BNESPQ,VUFTPQXQ,Central Vieux-Fort,"chemin Jacques-Cartier, Old Fort Bay, QC G0G 2G0",418-379-1105,,51.424511,-57.82377,,,Building,CO,Hugues Mathieu,9533
